夏目友人帐 叁 夏目友人帳 参 (2011),导演： 大森贵弘主演： 神谷浩史		 井上和彦 夏目贵志从祖母夏目玲子的遗物中得到了那些契约书所做成的“友人帐”，他做出了一个重要的决定：将玲子夺过来的妖怪们的名字一..
母亲 Mother (2010),导演： 水田伸生主演： 松雪泰子		 山本耕史 一边是冷静孤独的女教师，一边是遭受着家庭暴力的女孩，两个毫无血缘关系的人为了找寻新的生活，成为“母女”，踏上了位置的旅..
冤家成双 Coupling (2000),导演： Martin Dennis主演： 杰克·达文波特		 吉娜·贝尔曼 故事延续着第一季六位主人公的生活。英国式的对白，英国式的幽默。该剧荣获2003年英国喜剧大奖最佳电视喜剧。
舞林争霸 So You Think You Can Dance (2005),导演： 奈吉尔·莱斯格主演： 奈吉尔·莱斯格		 卡特·迪莉 《舞林争霸》制作人班底来自《美国偶像》，目的是要寻找美国最受欢迎的舞者。从街头的海选到进入最后的决选，参赛者秀的就是舞..
故园风雨后 Brideshead Revisited (1981),导演： 查理斯·斯特里奇主演： 杰瑞米·艾恩斯		 安东尼·安德鲁斯 11集英国电视连续剧《故园风雨后》（Brideshead Revisited）改编自Evelyn Waugh的同名小说，由Granada电视公司出品，1981年10..
小查和寇弟的顶级生活 The Suite Life of Zack and Cody (2005),导演： Henry Chan主演： 布兰达·宋		 阿什丽·提斯代尔 《小查和寇弟的顶级生活》是Disney从2005年3月18号开始在Disney频道播出的电视影集。该剧与Disney热播剧《汉娜.孟塔娜》一样非..
 Clannad: After Story (2008),主演： 中原麻衣		 中村悠一 作为日本著名游戏品牌Key最著名的四季四部曲之一的《CLANNAD》第二部作品。　　在某个小镇，主角冈崎朋也因为家庭的因素成为不..
犯罪现场调查 C.S.I. (2000),导演： Kenneth Fink主演： 特德·丹森		 乔治·艾德斯 围绕在形同长辈的组长格里森周围的，是由几个侦探专家组成的拉斯维加斯犯罪现场调查小组，他们的主要日常任务是研究犯罪现场，..
哆啦A梦 Doraemon (1979),导演： 楠叶宏三主演： 青木和代		 千千松幸子 故事是从一个小学4年级学生——大雄开始的。大雄并不是个非常优秀的学生，像不少小孩子一样，他在学校里成绩平平，也没有其他..
白色巨塔 The Ivory Tower (2003),导演： 西谷弘主演： 唐泽寿明		 江口洋介 阔别11年再度携手合作的唐泽寿明与江口洋介，在剧中分别诠释追求权势、野心勃勃的天才外科医－财前五郎，以及尊重生命、热心研..
棒球英豪 Touch (1985),导演： 杉井仪三郎主演： 秋元羊介		 千叶繁 《棒球英豪》是安达充最为著名、最为成功的作品之一，1981年36号～1986年50号连载于日本的《周刊少年SUNDAY》，1987年结束，单..
福尔摩斯探案全集 The Adventures of Sherlock Holmes (1984),导演： Alan Grint主演： 杰瑞米·布雷特		 大卫·布克 天文学知识空白、文学知识空白、哲学知识空白、政治学不及格--这就是歇洛克·福尔摩斯。可是，这又有什么关系？对这位世界上最..
糊涂侦探 Get Smart (1965),导演： Norman Abbott主演： 唐·亚当斯		 芭芭拉·费尔顿 《糊涂侦探》，是由喜剧大师梅尔.布鲁克斯编剧的电视剧集，在60年代仿效当时流行的007系列电影改编的间谍喜剧。
"是，首相 Yes, Prime Minister (1986)",导演： 西德尼·洛特比主演： Paul Eddington		 奈杰尔·霍桑 在野党影子内阁成员吉姆在帮助本党大选获胜之后得到行政事务部部长的职务，从此开始面对以部秘书亨普利为首的公务员体系。
极速前进 The Amazing Race (2001),导演： Hans van Riet主演： 菲尔·基欧汉		 Amber Brkich 
马尔柯姆的一家 Malcolm in the Middle (2000),导演： 托德·霍兰德主演： 弗朗基·穆尼兹		 简·卡兹玛拉克 《马尔柯姆的一家》讲述了一个生于中产阶级家庭的小男孩马金和他的家人的故事。
9局下2出局 9 End 2 Outs (2007),主演： 秀爱		 李廷镇 《9局下2出局》讲述了30多岁的青年男女，在满怀希望走上社会后，遭到背叛，在冷酷的现实下彷徨不定，身心受伤，他们的生活就好..
权力的游戏 Game of Thrones (2011),导演： 艾伦·泰勒主演： 基特·哈灵顿		 艾米莉亚·克拉克 故事发生在一块虚构的大陆——维斯特洛上，剧情主要讲述北境之王Stark家族的领主Eddard Star受国王邀请进入议会，成为国王的右..
邪恶力量 Supernatural (2005),导演： 罗伯特·辛格主演： 简森·阿克斯		 贾德·帕达里克 Sam是一名刚刚进入斯坦福大学的研究生，他与一直不和的哥哥Dean无意遇到了很多在北美民间传说和都市怪谈中都没听说过的幽灵和..
傲慢与偏见 Pride and Prejudice (1995),导演： Simon Langton主演： 科林·费斯		 詹妮弗·艾莉 温柔的伊莉莎白是班尼家最有才气的五千金之一，却因第一印象对英俊多金的达西先生执有偏见。然而习惯将自己的情感包裹在傲慢外..
西游记 Pilgrimage to the West (1986),导演： 杨洁主演： 六小龄童		 马德华 唐朝僧人唐僧带领徒弟孙悟空、猪八戒、沙和尚到西天取经，师徒四人一路遭遇九九八十一难，最后终于取得真经修成正果。
犯罪心理 Criminal Minds (2005),导演： Glenn Kershaw主演： 托马斯·吉布森		 谢默·摩尔 讲述FBI心理学特工一步步逼近罪犯心灵深处的犯罪剧集，环环相扣。
新世纪福音战士 Neon Genesis Evangelion (1995),导演： 庵野秀明主演： 滕奎兴		 绪方惠美 公元2000年，南极发生了大爆炸，冰封的大陆在一瞬间融化，引起世界海洋水位上涨甚至海啸，淹没了地球上的很大一部分陆地，随后..
摩登家庭 Modern Family (2009),导演： Michael Spiller主演： 泰·布利尔		 朱丽·鲍温 《摩登家庭》瞄准的是三对各有不同的美国家庭：一对普通父母与三个孩子、一对同性恋夫夫从越南领养了养女组成三口之家，一个60..
无法阻挡的highkick Trouble-free High Kick (2006),导演： 金秉旭主演： 罗文熙		 郑俊河 顺载一家人为了庆祝俊儿过百天，决定照张全家福。不过，顺载这家人做什么事都不那么顺利！　　俊儿撒了一泼尿，顺载和文姬争着..
虫师 蟲師 (2005),导演： Hiroshi Nagahama主演： Yûto Nakano		 上田祐司 另一个世界，住着一群与常见动植物孑然不同的生物。远古以来，人们敬畏地称它们为虫。当虫的世界和人的世界重合时，虫师银古便..
海绵宝宝 SpongeBob SquarePants (1999),导演： Sherm Cohen主演： 克兰西·布朗		 弗兰克·维尔克 海绵宝宝是方块形的黄色海绵，住在比基尼海滩（裤头村，比奇堡）的一个菠萝（凤梨）里，他的宠物是一只会“猫￣猫￣”的海蜗牛..
红楼梦 Hong lou meng (1987),导演： 王扶林主演： 欧阳奋强		 陈晓旭 87版由中央台和中国电视剧制作中心共同摄制，前29集基本忠实原著，后7集根据前八十回并结合多年红学研究成果重新构建而成。
IT狂人 The IT Crowd (2006),导演： 格拉汉姆·莱因汉主演： 克里斯·奥多德		 理查德·阿尤阿德 史上最囧，最雷，最脑残，最出乎意料，最不按常理出牌的IT “精英们”登上银屏了。让超擅长收发邮件、单击和双击鼠标的IT女皇J..
辛普森一家 The Simpsons (1989),导演： Matthew Nastuk主演： 南茜·卡特莱特		 雅德丽·史密斯 《辛普森一家》讲述的是美国人辛普森一家的生活，父亲荷马是Springfield核能工厂的安全检查员，总体说来是一个善意的小丑。母..
美丽中国 Wild China (2008),主演： 伯纳德·希尔 《美丽中国》是由中英联合摄制小组拍摄的一部关于中国野生动物和自然风光的系列记录片，其中有些野生动画和风景的镜头从未在银..
续 夏目友人帐 Zoku natsume yûjinchô (2009),导演： 大森贵弘主演： 石田彰		 井上和彦 《夏目友人帐》的动画版故事计述的是一位因为看得见妖怪而被人类疏远的女子夏目玲子，为了打发寂寞的日子，她向妖怪们发起挑战..
人人都爱雷蒙德 Everybody Loves Raymond (1996),导演： 迈克尔·莱拜克主演： 雷·罗马诺		 帕翠西亚·希顿 故事发生在一个大家庭中，雷蒙是一个体育专栏作家，有一个漂亮的妻子和可爱的孩子。父母和他住对门，经常开门就进他家厨房，老..
波士顿法律 Boston Legal (2004),导演： Lou Antonio主演： 詹姆斯·斯派德		 莫妮卡·波特 《波士顿法律》(Boston Legal)是讲述的是美国波士顿市一家律师事务所的故事，主要是两位活宝Alan(James Spader)扮演，曾凭该剧..
萤火虫 Firefly (2002),导演： 乔斯·韦登主演： 内森·菲利安		 吉娜·托瑞斯 时空背景设定于2517年，人类已探索远行到新的星系。此剧讲述一群异议分子驾驶一艘“萤火虫级”太空船“宁静号”在宇宙中冒险的..
六尺之下 Six Feet Under (2001),导演： 艾伦·鲍尔主演： 迈克尔·C·豪尔		 瑞切尔·格里菲斯 故事基本上是围绕殡葬业者Fisher一家展开，而这个家庭是以在美国殡仪业大势并购垄断下，仍努力坚持家族式服务为生的。老大Nate..
露易斯和克拉克：超人新冒险 Lois & Clark: The New Adventures of Superman (1993),导演： Neal Ahern Jr.主演： 迪恩·凯恩		 泰瑞·海切尔 
降世神通：最后的气宗 Avatar: The Last Airbender (2005),导演： Giancarlo Volpe主演： Zach Tyler		 Dante Basco 《降世神通：最后的气宗》是由美国尼克国际儿童频道热播动漫电视系列片，其故事具有中国传统的神话色彩：气、火、水、土是主宰..
怪物 Monster (2004),导演： 小岛正幸主演： 原康义		 矶部勉 天马贤三被称为天才医生，在西德留学研习医术。因为他卓越的医术而被爱斯勒医院院长和同事赏识，更是被院长千金爱娃所爱慕。就..
加里森敢死队 Garrison's Gorillas (1967),导演： Georg Fenady主演： 朗·哈珀		 西萨尔·达诺瓦 二十六集美国惊险电视系列片。一部越十亿人收看过的电视系列片，高创电视史上的收视率。“加里森敢死队”从战场到屏幕，它是二..
风之画员 바람의 화원 (2008),导演： 张太侑主演： 朴信阳		 文根英 金弘道是以风俗画、水墨画以及自画像等多种类型的作品而在朝鲜历史上享有盛名的画家。而对于以精炼的笔法表现男女之间的爱情而..
火线 The Wire (2002),导演： Joe Chappelle主演： 多米尼克·威斯特		 约翰·道曼 这是一部刻画巴尔的摩贩毒集团与警界较量的黑色剧集，美国《时代》周刊将其评为2006年十佳电视剧榜首。
荆棘鸟 The Thorn Birds (1983),导演： Daryl Duke主演： 理查德·查伯兰		 雷切尔·沃德 20世纪上半叶澳洲一个新西兰移民家庭，女孩麦琪漂亮热情，同神父拉尔夫相爱炽烈。但神父的身份却让两人无法结合，心灰意冷的麦..
夏目友人帐 四 Natsume's Book of Friends Ⅳ (2012),导演： 大森贵弘主演： 神谷浩史		 井上和彦 玲子的孙子夏目贵志从外婆的遗物中得到了那些契约书所做成的“友人帐”，同样他也能看到不会显现在人前的物体。而且也和玲子一..
急诊室的故事 ER (1994),导演： Christopher Chulack主演： 诺亚·怀尔		 劳拉·伊内斯 这是发生在美国芝加哥一家急诊室的故事，这里每天收治的都是需要急救的病人，每位医护人员都用自己的高超的医术和仁慈的爱心对..
命运石之门 Steins;Gate (2011),导演： 浜崎博嗣主演： 宫野真守		 今井麻美 故事开始于2010年7月28日，“未来道具研究所”社团的两人，冈部伦太郎和椎名まゆり去秋叶原Radio会馆参加中钵博士的时间旅行理..
屋事生非 Spaced (1999),导演： 埃德加·赖特主演： 西蒙·佩吉		 杰西卡·海因斯 剧集的幕后核心是导演Edgar Wright和编剧兼主演的Simon Pegg、Jessica Stevenson。第一集里咖啡店偶遇的古怪失恋漫画家Tim和慵..
如果还有明天 The Big C (2010),导演： Michael Engler主演： 劳拉·琳妮		 加布里埃尔·巴索 该剧讲述一个住在郊区的家庭主妇患上癌症后所面临的生活危机，以及用乐观的态度去珍惜生命的精神。该剧的主旨在于教育人们过好..
加州靡情 Californication (2007),导演： 大卫·凡·安肯主演： 大卫·杜楚尼		 娜塔莎· 麦克艾霍恩 加州靡情，美国2007年喜剧电视剧，斯蒂芬·霍普金斯导演，大卫·杜楚尼、娜塔莎·麦克埃霍等主演。
永生之酒 BACCANO! (2007),导演： 大森贵弘主演： 阪口大助		 小野坂昌也 故事要从头开始讲，1711年（中国正处于雍正年间），一艘航行于大西洋的船上，炼金术士为了掌握长生不老方法，通过召唤恶魔得到..
吉尔莫女孩 Gilmore Girls (2000),导演： Jackson Douglas主演： 阿丽克西斯·布莱德尔		 劳伦·格拉汉姆 Glmore Girl讲述一对关系十分融洽密切的母女在爱情，家庭，学业和事业等方面面临的问题和她们的选择。该剧风格轻松活波，语言..
飞出个未来 Futurama (1999),导演： 里奇·摩尔主演： 比利·维斯特		 凯特蕾·萨加尔 这部动画片是The Simpsons的制作班底制作的。 　　Phillip Fry是一个纽约市的25岁的比萨饼快递员，他的生活就是每天四处奔波.1..
生存之民工  (2005),导演： 管虎主演： 陶泽如		 丁勇岱 松江市，一个东北边陲的小城。　　一群来自全国各地的农民工为了生存，来到了这里，他们把汗水浸透在城市人未来的梦榻上——“..
人人都恨克里斯 Everybody Hates Chris (2005),导演： 杰瑞·莱文主演： 特昆·里奇蒙德		 泰勒·詹姆斯·威廉姆 13岁的黑人小孩克里斯（泰勒·詹姆斯·威廉姆 Tyler James Williams 饰）生活在纽约布鲁克林区，家中有做好几份低等工拼命养家..
家庭教师 Katei Kyoshi Hitman Reborn! (2006),导演： Kenichi Imaizumi主演： 市濑秀和		 国分优香里 
少年魔法师 Wizards of Waverly Place (2007),导演： Victor Gonzalez主演： 赛琳娜·戈麦斯		 大卫·亨瑞 该剧将魔法引入美国家庭日常生活，相比哈利波特这个剧更加幽默并且更具都市感。剧中的卢梭一家是做快餐生意的，因为爸爸出自巫..
福尔摩斯归来 The Return of Sherlock Holmes (1986),导演： Peter Hammond主演： 杰瑞米·布雷特		 爱德华·哈德威克 
银河英雄传说 Legend of the Galactic Heroes (1989),导演： 石黑升主演： 玄田哲章		 中田让治 十卷本长篇小说《银河英雄传说》是20世纪80年代中叶由日本作家田中芳树所著的一部以浩瀚银河为舞台展现的壮丽英雄史诗。作品于..
风之花园 Kaze no garden (2008),导演： 石坂理江子主演： 中井贵一		 黑木明纱 在东京的大医院担任麻醉师白鸟患上癌症回到老家。因多年对前妻子不忠，两个孩子早已和他断绝关系。家人之间的羁绊能否化解？
70年代秀 That '70s Show (1998),导演： David Trainer主演： 托弗·戈瑞斯		 米拉·库妮丝 电视剧《70年代秀》(That 70s'show)，是美国FOX电视台从1998年8月23日首播、连续播出了8年的一部幽默情景喜剧。已于2006年5月1..
甜心俏佳人 Ally McBeal (1997),导演： 丹尼斯·杜根主演： 卡莉斯塔·弗洛克哈特		 简·科拉克斯基 主人翁Ally Mcbeal是个神经质的律师，会念书，会打官司，但是就是不太懂人事她是一个好孩子，从小青梅竹马的男友因为实在不能..
绝命毒师 Breaking Bad (2008),导演： 米歇尔·迈凯伦主演： 布莱恩·科兰斯顿		 亚伦·保尔 沃尔特是个平凡的高中化学老师，在这个平凡的岗位上工作了25年。他本可以一直这样平凡下去，直到有一天，一纸绝症诊断彻底改变..
纸牌屋 House of Cards (2013),导演： 詹姆斯·弗雷主演： 凯文·史派西		 罗宾·莱特 剧集讲述美国政治家弗朗西斯和妻子克莱尔的故事，深深挖掘政治阶层人群的方方面面，聚焦在现代的华盛顿特区，那些光鲜背后的贪..
唐顿庄园 Downton Abbey (2010),导演： 布莱恩·派西维尔主演： 休·博内威利		 米歇尔·道克瑞 故事讲述了1912-1914年，乔治五世时期，唐顿庄园的Grantham伯爵一家，由家产继承问题而引发的种种纠葛和摩擦，呈现了英国上层..
真探 True Detective (2014),导演： 凯瑞·福永主演： 马修·麦康纳		 伍迪·哈里森 这部剧采用多视角叙事，伍迪·哈里森与马修·麦康纳饰演两名侦探搭档，他们一起调查一桩17年前的悬案，寻找涉及该案的路易斯安..
24小时 24 (2001),导演： 强·卡萨主演： 基弗·萨瑟兰		 玛丽·莱恩·莱杰斯库 失去妻子的杰克·鲍尔已经不在反恐小组工作了，他对这份工作也失去了兴趣，与女儿生活刚刚恢复平静，已经入主白宫的大卫&#..
越狱兔 Usavich (2008),普京兔和基里连科兔的监狱生活被关在俄罗斯监狱的两只兔子基里连科和普京本来暗无天日的监狱生活希望，却享受他们惬意的轻松的..
牵绊的爱 Aikurushii (2005),主演： 市原隼人		 绫濑遥 讲述的是一个平凡7口之家因为妈妈的病倒而后发生的点点滴滴的事，故事很温馨，典型的野島伸司风格。 住在山田的真柴家一共七口..
火星生活 Life on Mars (2006),导演： SJ·克拉克森主演： 约翰·西姆		 菲利普·格伦尼斯特 
重案疑云 The Inside (2005),导演： 凯文·霍克斯主演： 瑞秋·尼科尔斯		 亚当·鲍德温 
海岸情缘 Summerland (2004),导演： Jack Clements主演： 洛莉·路格林		 肖恩·克里斯汀 
唇膏 Lipstick (1999),导演： 永山耕三主演： 三上博史		 广末凉子 早川蓝因犯伤害罪而被监护所收容，和他同寝室的有松田惠理子、三池安奈、井川真白和铃丘小鸠都是心灵受伤的少女。监护所来了一..
越狱 Prison Break (2005),导演： 葛·艾坦尼斯主演： 阿莫里·诺拉斯科		 文特沃斯·米勒 迈克尔·斯科菲尔德是一头陷于绝境欲拼死一搏的怒狮——他的哥哥林肯·巴罗斯被认定犯有谋杀罪被投入了福克斯河监狱的死囚牢。..
黑镜 Black Mirror (2011),导演： 奥托·巴瑟斯特主演： 托比·凯贝尔		 汤姆·库伦 《黑镜》(Black Mirror)是一部由查理·布洛克主创、英国电视4台播出的科幻系列剧。
实习医生格蕾 Grey's Anatomy (2005),导演： 托尼·戈德温主演： 艾伦·旁派		 帕特里克·德姆西 欢迎来到格雷斯医院，哈佛医学院西区最艰苦的外科住院医实习程序，医务新人最残酷的训练场。Meredith、Izzie和Christina昨天还..
老爸老妈的浪漫史 How I Met Your Mother (2005),导演： 帕梅拉·福莱曼主演： 乔什·拉德诺		 杰森·席格尔 Ted的好友Marshall突然告诉他，他要向自己相处了很久的女友Lily——一名幼儿园教师求婚。Ted震惊之余，顿悟自己也需要赶快找到..
疑犯追踪 Person of Interest (2011),导演： 理查德·刘易斯主演： 吉姆·卡维泽		 迈克尔·爱默生 《疑犯追踪》讲述了一位被误以为已死去的CIA特工与一位神秘的亿万富翁联合起来，运用独有的一套办法阻止犯罪的故事。Reese（Ji..
